,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_cleaned,price_per_sqft
50,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,2,1270.0,3937.0078740157483
51,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,3,1670.0,5928.143712574851
52,Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,3,2010.0,4527.363184079602
53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,2,1185.0,6329.113924050633
54,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,3,1600.0,4687.5
55,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,2,1200.0,3666.6666666666665
57,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,2,1500.0,12333.333333333334
58,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,not provided,1407,4.0,1.0,150.0,6,1407.0,10660.980810234541
59,Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,not provided,840,2.0,2.0,45.0,2,840.0,5357.142857142857
61,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,2,845.0,6508.87573964497
63,Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,2,1160.0,3793.103448275862
65,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,not provided,1100,2.0,1.0,62.0,2,1100.0,5636.363636363636
66,Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,2,1140.0,3771.9298245614036
67,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,not provided,1220,2.0,1.0,57.0,2,1220.0,4672.131147540984
68,Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,not provided,1350,7.0,0.0,85.0,8,1350.0,6296.2962962962965
69,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,not provided,1005,2.0,1.0,36.68,2,1005.0,3649.7512437810947
70,Plot  Area,Ready To Move,Double Road,3 Bedroom,not provided,500,3.0,2.0,100.0,3,500.0,20000.0
71,Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,2,1358.0,5933.726067746687
72,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,3,1569.0,6437.221159974506
73,Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,2,1240.0,5645.1612903225805
74,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,3,2089.0,6701.771182383915
75,Super built-up  Area,Ready To Move,Kothannur,2 BHK,not provided,1206,2.0,1.0,48.23,2,1206.0,3999.1708126036483
76,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,not provided,1150,2.0,3.0,40.0,2,1150.0,3478.2608695652175
77,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,3,2511.0,8164.078056551175
78,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,not provided,460,1.0,0.0,22.0,2,460.0,4782.608695652174
80,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,3,1660.0,6325.301204819277
82,Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,2,1326.0,5882.35294117647
83,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,not provided,1325,2.0,2.0,60.8,3,1325.0,4588.679245283019
84,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,3,1499.0,6804.536357571715
86,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,not provided,1665,3.0,2.0,88.0,3,1665.0,5285.285285285286
87,Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,2,708.0,5225.988700564972
88,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,2,1060.0,5477.358490566037
89,Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,not provided,710,6.0,3.0,160.0,6,710.0,22535.211267605635
90,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,2,1000.0,7000.0
91,Super built-up  Area,18-Dec,Electronic City,2 BHK,not provided,1000,2.0,1.0,28.88,2,1000.0,2888.0
92,Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,not provided,1450,2.0,2.0,70.0,3,1450.0,4827.586206896552
93,Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,not provided,1200,4.0,2.0,155.0,4,1200.0,12916.666666666666
94,Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,2,1296.0,6172.83950617284
95,Super built-up  Area,Ready To Move,Domlur,3 BHK,not provided,1540,3.0,2.0,90.0,3,1540.0,5844.1558441558445
97,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,not provided,1330,2.0,1.0,48.0,3,1330.0,3609.0225563909776
98,Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,not provided,1200,2.0,1.0,65.0,2,1200.0,5416.666666666667
99,Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,not provided,1200,3.0,1.0,90.0,3,1200.0,7500.0
100,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0,3,2502.0,5515.587529976019
101,Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,2,650.0,2615.3846153846152
102,Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,3,2400.0,6250.0
103,Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0,2,1007.0,4270.109235352532
104,Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,2,1200.0,4166.666666666667
105,Super built-up  Area,Ready To Move,Peenya,2 BHK,not provided,966,2.0,2.0,49.9,2,966.0,5165.631469979296
106,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,not provided,1630,2.0,1.0,98.0,3,1630.0,6012.269938650306
108,Built-up  Area,Ready To Move,Jalahalli West,2 BHK,not provided,782,2.0,2.0,55.68,2,782.0,7120.204603580562
109,Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,2,1260.0,5300.0
110,Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,not provided,1800,3.0,3.0,120.0,3,1800.0,6666.666666666667
111,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,3,1413.0,5307.855626326964
112,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,2,1116.0,4651.433691756272
113,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,3,1530.0,3000.0
115,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,3,2497.0,5606.728073688426
116,Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,3,1540.0,4155.8441558441555
117,Super built-up  Area,18-Dec,Thanisandra,3 BHK,not provided,1436,3.0,1.0,74.75,3,1436.0,5205.431754874652
118,Super built-up  Area,18-Jun,Malleshwaram,2 BHK,not provided,1100,2.0,2.0,75.0,2,1100.0,6818.181818181818
119,Plot  Area,Ready To Move,Hennur Road,2 Bedroom,not provided,276,3.0,3.0,23.0,2,276.0,8333.333333333334
120,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,3,1427.0,8409.250175192712
121,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0,3,2061.0,9704.02717127608
124,Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,3,1282.0,5344.773790951638
125,Built-up  Area,Ready To Move,Kadugodi,2 BHK,not provided,1050,2.0,1.0,34.0,2,1050.0,3238.095238095238
126,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,3,1600.0,4062.5
127,Super built-up  Area,22-Jan,Vajarahalli,2 BHK,not provided,945,2.0,1.0,54.0,2,945.0,5714.285714285715
128,Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,2,1500.0,5200.0
129,Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,not provided,950,7.0,0.0,115.0,7,950.0,12105.263157894737
130,Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,3,1870.0,5882.35294117647
131,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,3,1600.0,4687.5
132,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,2,880.0,1875.0
133,Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,not provided,1200,4.0,0.0,210.0,4,1200.0,17500.0
134,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,3,1535.0,5407.166123778502
135,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,2,950.0,6000.0
136,Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,2,1360.0,4779.411764705882
137,Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,2,1073.5,5030.740568234746
138,Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,not provided,1280,3.0,1.0,50.4,3,1280.0,3937.5
139,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,3,1260.0,6750.0
142,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,3,1563.05,6717.635392341896
143,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,not provided,1000,2.0,1.0,60.0,2,1000.0,6000.0
144,Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,2,1167.0,3749.7857754927163
146,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,2.0,110.0,3,1828.0,6017.505470459519
147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,2,890.0,3932.5842696629215
148,Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,3,1612.0,2899.5037220843674
149,Plot  Area,Ready To Move,Dinnur,6 Bedroom,not provided,1034,5.0,2.0,185.0,6,1034.0,17891.682785299807
150,Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,3,1710.0,5339.766081871345
151,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,2,957.0,6060.606060606061
152,Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,not provided,1250,2.0,3.0,44.0,3,1250.0,3520.0
154,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,2,1125.0,4444.444444444444
155,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,2,1020.0,3000.0
156,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,not provided,1200,2.0,2.0,50.0,2,1200.0,4166.666666666667
157,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,3,1735.0,7780.979827089337
158,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,3,2050.0,7073.170731707317
160,Built-up  Area,Ready To Move,Yarandahalli,3 BHK,not provided,1350,2.0,3.0,48.0,3,1350.0,3555.5555555555557
161,Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,2,1063.0,3010.348071495767
162,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,3,1904.0,7878.151260504202
164,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,3,2000.0,8750.0
165,Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,2,1242.5,3500.201207243461
166,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,3,1425.0,5263.1578947368425
167,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,3,1500.0,4300.0
168,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,2,1060.0,5660.377358490566
169,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,3,1470.0,4761.9047619047615
170,Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,not provided,1300,6.0,0.0,99.0,6,1300.0,7615.384615384615
171,Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,1,450.0,2444.4444444444443
172,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,2,1152.0,5598.958333333333
173,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,3,1350.0,4148.148148148148
174,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,3,1550.0,4193.548387096775
175,Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,not provided,1500,3.0,2.0,100.0,3,1500.0,6666.666666666667
176,Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,not provided,600,3.0,2.0,85.0,5,600.0,14166.666666666666
177,Plot  Area,Ready To Move,Nagavara,1 Bedroom,not provided,400,1.0,0.0,14.0,1,400.0,3500.0
178,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0,1,705.0,9503.54609929078
179,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0,2,770.0,4675.324675324675
180,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0,2,1242.0,4106.280193236715
181,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0,3,1700.0,9117.64705882353
182,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0,3,2144.0,6763.059701492537
183,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0,3,1704.0,6455.399061032864
184,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0,2,1070.0,4859.813084112149
186,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,not provided,1340,2.0,2.0,55.7,2,1340.0,4156.7164179104475
187,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0,2,1025.0,4487.804878048781
188,Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,2,1277.5,4446.183953033268
189,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0,2,1200.0,4333.333333333333
190,Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,not provided,2250,4.0,1.0,110.0,4,2250.0,4888.888888888889
191,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0,3,1550.0,5161.290322580645
194,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0,2,1200.0,5000.0
195,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0,2,1327.0,7385.079125847777
196,Super built-up  Area,Ready To Move,Kothanur,2 BHK,not provided,1186,2.0,2.0,58.0,2,1186.0,4890.387858347386
197,Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,not provided,1783,3.0,1.0,115.0,3,1783.0,6449.8037016264725
198,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0,3,1400.0,4000.0
199,Super built-up  Area,Ready To Move,Nagasandra,2 BHK,not provided,980,2.0,1.0,48.0,2,980.0,4897.959183673469
200,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,not provided,1285,2.0,2.0,82.0,2,1285.0,6381.322957198444
201,Super built-up  Area,Ready To Move,Langford Town,3 BHK,not provided,912,2.0,1.0,70.0,3,912.0,7675.438596491228
202,Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6,2,1225.0,3885.714285714286
203,Super built-up  Area,Ready To Move,Whitefield,2 BHK,not provided,1075,2.0,1.0,53.0,2,1075.0,4930.232558139535
204,Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,54.0,3,1260.0,4285.714285714285
205,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,48.7,3,1282.0,3798.751950078003
206,Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,88.0,3,1909.0,4609.743321110529
207,Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,87.0,2,1359.0,6401.766004415011
208,Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,not provided,1207,2.0,2.0,43.5,2,1207.0,3603.976801988401
209,Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,not provided,1736,6.0,0.0,190.0,4,1736.0,10944.700460829494
211,Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3.0,2.0,65.0,3,1595.0,4075.2351097178685
212,Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,not provided,1798,3.0,2.0,89.0,3,1798.0,4949.944382647386
213,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3.0,2.0,78.29,3,1475.0,5307.796610169492
214,Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3.0,3.0,100.0,3,1580.0,6329.113924050633
215,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2.0,1.0,65.0,2,1295.0,5019.305019305019
217,Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1.0,1.0,27.0,1,589.0,4584.040747028863
218,Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,not provided,1415,3.0,3.0,78.0,3,1415.0,5512.367491166077
219,Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,98.29,3,1787.0,5500.279798545048
220,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,125.0,3,1787.0,6994.963626189144
221,Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2.0,3.0,90.0,3,1475.0,6101.6949152542375
222,Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,not provided,2000,4.0,1.0,75.5,4,2000.0,3775.0
223,Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,44.28,2,984.0,4500.0
226,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,72.0,2,1080.0,6666.666666666667
227,Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,not provided,1500,2.0,1.0,115.0,2,1500.0,7666.666666666667
228,Super built-up  Area,Ready To Move,Hebbal,3 BHK,not provided,1900,3.0,2.0,119.0,3,1900.0,6263.1578947368425
229,Super built-up  Area,19-Aug,Dommasandra,2 BHK,not provided,805,2.0,1.0,22.14,2,805.0,2750.3105590062114
230,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.4,2,1153.0,4891.587163920208
231,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2.0,2.0,60.0,2,1148.0,5226.480836236934
232,Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,55.0,2,1110.0,4954.954954954955
233,Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2.0,2.0,42.0,2,1100.0,3818.181818181818
234,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2.0,2.0,110.0,2,1290.0,8527.131782945737
235,Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,not provided,1500,2.0,1.0,65.0,3,1500.0,4333.333333333333
236,Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,not provided,1080,2.0,2.0,39.0,2,1080.0,3611.1111111111113
237,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3.0,1.0,129.0,3,1933.0,6673.564407656492
239,Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,not provided,1060,2.0,2.0,60.0,2,1060.0,5660.377358490566
240,Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,1,645.0,2550.3875968992247
